fecha,casa,compra,venta
2012-05-12,blue,5,5
2012-05-13,blue,5,5
2012-05-14,blue,5,5
2012-05-15,blue,6,5
2012-05-16,blue,5,5
2012-05-17,blue,6,5
2012-05-18,blue,6,6
2012-05-19,blue,6,6
2012-05-20,blue,6,6
2012-05-21,blue,6,6
2012-05-22,blue,6,6
2012-05-23,blue,6,6
2012-05-24,blue,6,6
2012-05-25,blue,6,6
2012-05-26,blue,6,6
2012-05-27,blue,6,6
2012-05-28,blue,6,6
2012-05-29,blue,6,6
2012-05-30,blue,6,6
2012-05-31,blue,6,6
2012-06-01,blue,6,6
2012-06-02,blue,6,6
2012-06-03,blue,6,6
2012-06-04,blue,6,6
2012-06-05,blue,6,6
2012-06-06,blue,6,6
2012-06-07,blue,6,6
2012-06-08,blue,6,6
2012-06-09,blue,6,6
2012-06-10,blue,6,6
2012-06-11,blue,6,6
2012-06-12,blue,6,6
2012-06-13,blue,6,6
2012-06-14,blue,6,6
2012-06-15,blue,6,6
2012-06-16,blue,6,6
2012-06-17,blue,6,6
2012-06-18,blue,6,6
2012-06-19,blue,6,6
2012-06-20,blue,6,6
2012-06-21,blue,6,6
2012-06-22,blue,6,6
2012-06-23,blue,6,6
2012-06-24,blue,6,6
2012-06-25,blue,6,6
2012-06-26,blue,6,6
2012-06-27,blue,6,6
2012-06-28,blue,6,6
2012-06-29,blue,6,6
2012-06-30,blue,6,6
2012-07-01,blue,6,6
2012-07-02,blue,6,6
2012-07-03,blue,6,6
2012-07-04,blue,6,6
2012-07-05,blue,6,6
2012-07-06,blue,6,6
2012-07-07,blue,6,6
2012-07-08,blue,6,6
2012-07-09,blue,6,6
2012-07-10,blue,6,6
2012-07-11,blue,6,6
2012-07-12,blue,6,6
2012-07-13,blue,6,6
2012-07-14,blue,6,6
2012-07-15,blue,6,6
2012-07-16,blue,6,6
2012-07-17,blue,7,6
2012-07-18,blue,7,7
2012-07-19,blue,7,7
2012-07-20,blue,6,6
2012-07-21,blue,6,6
2012-07-22,blue,6,6
2012-07-23,blue,6,6
2012-07-24,blue,6,6
2012-07-25,blue,6,6
2012-07-26,blue,6,6
2012-07-27,blue,6,6
2012-07-28,blue,6,6
2012-07-29,blue,6,6
2012-07-30,blue,6,6
2012-07-31,blue,6,6
2012-08-01,blue,6,6
2012-08-02,blue,6,6
2012-08-03,blue,6,6
2012-08-04,blue,6,6
2012-08-05,blue,6,6
2012-08-06,blue,6,6
2012-08-07,blue,6,6
2012-08-08,blue,6,6
2012-08-09,blue,6,6
2012-08-10,blue,6,6
2012-08-11,blue,6,6
2012-08-12,blue,6,6
2012-08-13,blue,6,6
2012-08-14,blue,6,6
2012-08-15,blue,6,6
2012-08-16,blue,6,6
2012-08-17,blue,6,6
2012-08-18,blue,6,6
2012-08-19,blue,6,6
2012-08-20,blue,6,6
2012-08-21,blue,6,6
2012-08-22,blue,6,6
2012-08-23,blue,6,6
2012-08-24,blue,6,6
2012-08-25,blue,6,6
2012-08-26,blue,6,6
2012-08-27,blue,6,6
2012-08-28,blue,6,6
2012-08-29,blue,6,6
2012-08-30,blue,6,6
2012-08-31,blue,6,6
2012-09-01,blue,6,6
2012-09-02,blue,6,6
2012-09-03,blue,6,6
2012-09-04,blue,6,6
2012-09-05,blue,6,6
2012-09-06,blue,6,6
2012-09-07,blue,6,6
2012-09-08,blue,6,6
2012-09-09,blue,6,6
2012-09-10,blue,6,6
2012-09-11,blue,6,6
2012-09-12,blue,6,6
2012-09-13,blue,6,6
2012-09-14,blue,6,6
2012-09-15,blue,6,6
2012-09-16,blue,6,6
2012-09-17,blue,6,6
2012-09-18,blue,6,6
2012-09-19,blue,6,6
2012-09-20,blue,6,6
2012-09-21,blue,6,6
2012-09-22,blue,6,6
2012-09-23,blue,6,6
2012-09-24,blue,6,6
2012-09-25,blue,6,6
2012-09-26,blue,6,6
2012-09-27,blue,6,6
2012-09-28,blue,6,6
2012-09-29,blue,6,6
2012-09-30,blue,6,6
2012-10-01,blue,6,6
2012-10-02,blue,6,6
2012-10-03,blue,6,6
2012-10-04,blue,6,6
2012-10-05,blue,6,6
2012-10-06,blue,6,6
2012-10-07,blue,6,6
2012-10-08,blue,6,6
2012-10-09,blue,6,6
2012-10-10,blue,6,6
2012-10-11,blue,6,6
2012-10-12,blue,6,6
2012-10-13,blue,6,6
