fecha,sector,tramo,valor
2018-12-01,inversion_directa,m9a12,444.589
2018-12-01,inversion_directa,mas_2y,4020.601
2018-12-01,inversion_directa,pago_inmediato,12207.99
2018-12-01,no_financieras,m0a3,7961.754
2018-12-01,no_financieras,m12a18,2516.982
2018-12-01,no_financieras,m18a24,1275.182
2018-12-01,no_financieras,m3a6,1854.36
2018-12-01,no_financieras,m6a9,1177.691
2018-12-01,no_financieras,m9a12,752.756
2018-12-01,no_financieras,mas_2y,18164.01
2018-12-01,no_financieras,pago_inmediato,13531.543
2018-12-01,otras_financieras,m0a3,890.7
2018-12-01,otras_financieras,m12a18,20.094
2018-12-01,otras_financieras,m18a24,26.081
2018-12-01,otras_financieras,m3a6,38.327
2018-12-01,otras_financieras,m6a9,45.184
2018-12-01,otras_financieras,m9a12,10.65
2018-12-01,otras_financieras,mas_2y,2535.334
2018-12-01,otras_financieras,pago_inmediato,415.395
2018-12-01,otros_sectores,m0a3,8852.454
2018-12-01,otros_sectores,m12a18,2537.077
2018-12-01,otros_sectores,m18a24,1301.263
2018-12-01,otros_sectores,m3a6,1892.687
2018-12-01,otros_sectores,m6a9,1222.875
2018-12-01,otros_sectores,m9a12,763.406
2018-12-01,otros_sectores,mas_2y,20699.344
2018-12-01,otros_sectores,pago_inmediato,13946.938
2018-12-01,total,m0a3,22110.219
2018-12-01,total,m12a18,16487.576
2018-12-01,total,m18a24,6227.367
2018-12-01,total,m3a6,19061.766
2018-12-01,total,m6a9,5246.596
2018-12-01,total,m9a12,25386.875
2018-12-01,total,mas_2y,240541.489
2018-12-01,total,pago_inmediato,29990.82
2019-03-01,bancos,m0a3,1902.489
2019-03-01,bancos,m12a18,103.879
2019-03-01,bancos,m18a24,63.636
2019-03-01,bancos,m3a6,560.436
2019-03-01,bancos,m6a9,252.363
2019-03-01,bancos,m9a12,96.721
2019-03-01,bancos,mas_2y,1961.738
2019-03-01,bancos,pago_inmediato,651.382
2019-03-01,bcra,m0a3,6.731
2019-03-01,bcra,m12a18,13.463
2019-03-01,bcra,m18a24,13.463
2019-03-01,bcra,m3a6,6.731
2019-03-01,bcra,m6a9,6.731
2019-03-01,bcra,m9a12,21874.738
2019-03-01,bcra,mas_2y,2349.524
2019-03-01,bcra,pago_inmediato,0.0
2019-03-01,gobierno,m0a3,15549.633
2019-03-01,gobierno,m12a18,11539.316
2019-03-01,gobierno,m18a24,6977.096
2019-03-01,gobierno,m3a6,5049.845
2019-03-01,gobierno,m6a9,5604.594
2019-03-01,gobierno,m9a12,6235.63
2019-03-01,gobierno,mas_2y,207161.917
2019-03-01,gobierno,pago_inmediato,2804.841
2019-03-01,inversion_directa,m0a3,4568.688
2019-03-01,inversion_directa,m12a18,316.922
2019-03-01,inversion_directa,m18a24,208.643
2019-03-01,inversion_directa,m3a6,1245.059
2019-03-01,inversion_directa,m6a9,708.009
2019-03-01,inversion_directa,m9a12,443.655
2019-03-01,inversion_directa,mas_2y,4012.156
2019-03-01,inversion_directa,pago_inmediato,12182.348
2019-03-01,no_financieras,m0a3,8158.57
2019-03-01,no_financieras,m12a18,2579.203
2019-03-01,no_financieras,m18a24,1306.705
2019-03-01,no_financieras,m3a6,1900.2
2019-03-01,no_financieras,m6a9,1206.804
2019-03-01,no_financieras,m9a12,771.364
2019-03-01,no_financieras,mas_2y,18613.027
2019-03-01,no_financieras,pago_inmediato,13866.045
2019-03-01,otras_financieras,m0a3,935.216
2019-03-01,otras_financieras,m12a18,21.099
2019-03-01,otras_financieras,m18a24,27.384
2019-03-01,otras_financieras,m3a6,40.242
2019-03-01,otras_financieras,m6a9,47.442
2019-03-01,otras_financieras,m9a12,11.182
2019-03-01,otras_financieras,mas_2y,2662.047
2019-03-01,otras_financieras,pago_inmediato,436.156
2019-03-01,otros_sectores,m0a3,9093.786
2019-03-01,otros_sectores,m12a18,2600.301
2019-03-01,otros_sectores,m18a24,1334.089
2019-03-01,otros_sectores,m3a6,1940.442
2019-03-01,otros_sectores,m6a9,1254.246
2019-03-01,otros_sectores,m9a12,782.546
2019-03-01,otros_sectores,mas_2y,21275.074
2019-03-01,otros_sectores,pago_inmediato,14302.201
2019-03-01,total,m0a3,31121.328
2019-03-01,total,m12a18,14573.882
2019-03-01,total,m18a24,8596.926
2019-03-01,total,m3a6,8802.514
2019-03-01,total,m6a9,7825.944
2019-03-01,total,m9a12,29433.291
2019-03-01,total,mas_2y,236760.409
2019-03-01,total,pago_inmediato,29940.771
2019-06-01,bancos,m0a3,1811.99
2019-06-01,bancos,m12a18,98.938
2019-06-01,bancos,m18a24,60.609
2019-06-01,bancos,m3a6,533.777
2019-06-01,bancos,m6a9,240.358
2019-06-01,bancos,m9a12,92.12
2019-06-01,bancos,mas_2y,1868.42
2019-06-01,bancos,pago_inmediato,620.397
2019-06-01,bcra,m0a3,5.859
2019-06-01,bcra,m12a18,11.718
2019-06-01,bcra,m18a24,11.718
2019-06-01,bcra,m3a6,5.859
2019-06-01,bcra,m6a9,5.859
2019-06-01,bcra,m9a12,21437.859
2019-06-01,bcra,mas_2y,2345.896
2019-06-01,bcra,pago_inmediato,0.0
2019-06-01,gobierno,m0a3,8663.505
2019-06-01,gobierno,m12a18,7510.529
2019-06-01,gobierno,m18a24,12808.591
2019-06-01,gobierno,m3a6,5241.312
2019-06-01,gobierno,m6a9,5571.182
2019-06-01,gobierno,m9a12,10902.098
2019-06-01,gobierno,mas_2y,213975.991
2019-06-01,gobierno,pago_inmediato,2775.192
2019-06-01,inversion_directa,m0a3,4577.168
2019-06-01,inversion_directa,m12a18,317.511
2019-06-01,inversion_directa,m18a24,209.03
2019-06-01,inversion_directa,m3a6,1247.37
2019-06-01,inversion_directa,m6a9,709.323
2019-06-01,inversion_directa,m9a12,444.478
2019-06-01,inversion_directa,mas_2y,4019.602
2019-06-01,inversion_directa,pago_inmediato,12204.958
2019-06-01,no_financieras,m0a3,8533.181
2019-06-01,no_financieras,m12a18,2697.63
2019-06-01,no_financieras,m18a24,1366.704
2019-06-01,no_financieras,m3a6,1987.45
2019-06-01,no_financieras,m6a9,1262.216
2019-06-01,no_financieras,m9a12,806.782
2019-06-01,no_financieras,mas_2y,19467.668
2019-06-01,no_financieras,pago_inmediato,14502.722
2019-06-01,otras_financieras,m0a3,925.935
2019-06-01,otras_financieras,m12a18,20.889
2019-06-01,otras_financieras,m18a24,27.112
2019-06-01,otras_financieras,m3a6,39.843
2019-06-01,otras_financieras,m6a9,46.971
2019-06-01,otras_financieras,m9a12,11.071
2019-06-01,otras_financieras,mas_2y,2635.628
2019-06-01,otras_financieras,pago_inmediato,431.827
2019-06-01,otros_sectores,m0a3,9459.116
2019-06-01,otros_sectores,m12a18,2718.519
2019-06-01,otros_sectores,m18a24,1393.816
2019-06-01,otros_sectores,m3a6,2027.293
2019-06-01,otros_sectores,m6a9,1309.187
2019-06-01,otros_sectores,m9a12,817.853
2019-06-01,otros_sectores,mas_2y,22103.297
2019-06-01,otros_sectores,pago_inmediato,14934.55
2019-06-01,total,m0a3,24517.638
2019-06-01,total,m12a18,10657.215
2019-06-01,total,m18a24,14483.764
2019-06-01,total,m3a6,9055.61
2019-06-01,total,m6a9,7835.909
2019-06-01,total,m9a12,33694.408
2019-06-01,total,mas_2y,244313.206
2019-06-01,total,pago_inmediato,30535.096
2019-09-01,bancos,m0a3,1672.806
2019-09-01,bancos,m12a18,91.338
2019-09-01,bancos,m18a24,55.953
2019-09-01,bancos,m3a6,492.776
2019-09-01,bancos,m6a9,221.896
2019-09-01,bancos,m9a12,85.044
2019-09-01,bancos,mas_2y,1724.902
2019-09-01,bancos,pago_inmediato,572.742
2019-09-01,bcra,m0a3,4.86
2019-09-01,bcra,m12a18,9.72
2019-09-01,bcra,m18a24,9.72
2019-09-01,bcra,m3a6,4.86
2019-09-01,bcra,m6a9,4.86
2019-09-01,bcra,m9a12,20690.69
2019-09-01,bcra,mas_2y,2300.504
2019-09-01,bcra,pago_inmediato,0.0
2019-09-01,gobierno,m0a3,4306.14
2019-09-01,gobierno,m12a18,8123.976
2019-09-01,gobierno,m18a24,14108.539
2019-09-01,gobierno,m3a6,6290.476
2019-09-01,gobierno,m6a9,9535.815
2019-09-01,gobierno,m9a12,2820.912
2019-09-01,gobierno,mas_2y,213388.426
2019-09-01,gobierno,pago_inmediato,2738.553
2019-09-01,inversion_directa,m0a3,4451.137
2019-09-01,inversion_directa,m12a18,308.768
2019-09-01,inversion_directa,m18a24,203.274
2019-09-01,inversion_directa,m3a6,1213.024
2019-09-01,inversion_directa,m6a9,689.792
2019-09-01,inversion_directa,m9a12,432.24
2019-09-01,inversion_directa,mas_2y,3908.924
2019-09-01,inversion_directa,pago_inmediato,11868.898
2019-09-01,no_financieras,m0a3,8393.871
2019-09-01,no_financieras,m12a18,2653.589
2019-09-01,no_financieras,m18a24,1344.392
2019-09-01,no_financieras,m3a6,1955.003
2019-09-01,no_financieras,m6a9,1241.609
2019-09-01,no_financieras,m9a12,793.611
2019-09-01,no_financieras,mas_2y,19149.844
2019-09-01,no_financieras,pago_inmediato,14265.955
2019-09-01,otras_financieras,m0a3,890.415
2019-09-01,otras_financieras,m12a18,20.088
2019-09-01,otras_financieras,m18a24,26.072
2019-09-01,otras_financieras,m3a6,38.314
2019-09-01,otras_financieras,m6a9,45.17
2019-09-01,otras_financieras,m9a12,10.646
2019-09-01,otras_financieras,mas_2y,2534.523
2019-09-01,otras_financieras,pago_inmediato,415.262
2019-09-01,otros_sectores,m0a3,9284.286
2019-09-01,otros_sectores,m12a18,2673.677
2019-09-01,otros_sectores,m18a24,1370.464
2019-09-01,otros_sectores,m3a6,1993.318
2019-09-01,otros_sectores,m6a9,1286.779
2019-09-01,otros_sectores,m9a12,804.257
2019-09-01,otros_sectores,mas_2y,21684.367
2019-09-01,otros_sectores,pago_inmediato,14681.216
2019-09-01,total,m0a3,19719.228
2019-09-01,total,m12a18,11207.479
2019-09-01,total,m18a24,15747.95
2019-09-01,total,m3a6,9994.453
2019-09-01,total,m6a9,11739.141
2019-09-01,total,m9a12,24833.143
2019-09-01,total,mas_2y,243007.123
2019-09-01,total,pago_inmediato,29861.41
2019-12-01,bancos,m0a3,1619.61
2019-12-01,bancos,m12a18,88.434
2019-12-01,bancos,m18a24,54.174
2019-12-01,bancos,m3a6,477.105
2019-12-01,bancos,m6a9,214.839
2019-12-01,bancos,m9a12,82.34
2019-12-01,bancos,mas_2y,1670.049
2019-12-01,bancos,pago_inmediato,554.529
2019-12-01,bcra,m0a3,4.317
2019-12-01,bcra,m12a18,8.634
2019-12-01,bcra,m18a24,8.634
2019-12-01,bcra,m3a6,4.317
2019-12-01,bcra,m6a9,4.317
2019-12-01,bcra,m9a12,22173.894
2019-12-01,bcra,mas_2y,2333.435
2019-12-01,bcra,pago_inmediato,0.0
2019-12-01,gobierno,m0a3,6448.084
2019-12-01,gobierno,m12a18,12582.394
2019-12-01,gobierno,m18a24,10108.249
2019-12-01,gobierno,m3a6,9418.942
2019-12-01,gobierno,m6a9,3697.765
2019-12-01,gobierno,m9a12,4760.905
2019-12-01,gobierno,mas_2y,206092.268
2019-12-01,gobierno,pago_inmediato,2762.906
2019-12-01,inversion_directa,m0a3,4407.586
2019-12-01,inversion_directa,m12a18,305.747
2019-12-01,inversion_directa,m18a24,201.285
2019-12-01,inversion_directa,m3a6,1201.155
2019-12-01,inversion_directa,m6a9,683.043
2019-12-01,inversion_directa,m9a12,428.011
2019-12-01,inversion_directa,mas_2y,3870.678
2019-12-01,inversion_directa,pago_inmediato,11752.769
2019-12-01,no_financieras,m0a3,8204.272
2019-12-01,no_financieras,m12a18,2593.65
2019-12-01,no_financieras,m18a24,1314.025
2019-12-01,no_financieras,m3a6,1910.844
2019-12-01,no_financieras,m6a9,1213.564
2019-12-01,no_financieras,m9a12,775.685
2019-12-01,no_financieras,mas_2y,18717.292
2019-12-01,no_financieras,pago_inmediato,13943.719
2019-12-01,otras_financieras,m0a3,904.202
2019-12-01,otras_financieras,m12a18,20.399
2019-12-01,otras_financieras,m18a24,26.476
2019-12-01,otras_financieras,m3a6,38.908
2019-12-01,otras_financieras,m6a9,45.869
2019-12-01,otras_financieras,m9a12,10.811
