fecha,expo_valor,expo_precios,expo_cantidades,impo_valor,impo_precios,impo_cantidades,ti_nominal,ti_base100,ti_anual_b100
2015-12-01,119.0200063292,149.99703043760002,79.4362380122675,235.4476257727,118.1190201468,199.19455752308,126.9880415966722,122.94511083680186,
2016-01-01,134.6919377661,143.39707057520002,93.9143673522488,220.443963412,113.4189753253,194.260605892058,126.43128732552825,122.40608200610252,134.236159
2016-02-01,143.7158421818,143.770038832,99.9132367724629,218.9960526222,110.9923487784,197.248450721815,129.5314861018409,125.40757944930635,
2016-03-01,153.4318470997,144.0606441353,106.472395875288,243.5970030308,110.7805680235,219.890943386126,130.0414384088916,125.90129635464268,
2016-04-01,164.4930681658,141.8519371402,115.990503070003,236.4500559236,108.7788487783,217.415219354271,130.40396982809185,126.25228582542265,
2016-05-01,186.8396326143,145.51594159459998,128.442063812778,260.5580138733,110.5453055226,235.784449955514,131.63466409240738,127.44379835550056,
2016-06-01,184.11532998,153.8046073412,119.767433117219,269.7960357666,112.1266581289,240.700330690216,137.1704195128935,132.80331138664667,
2016-07-01,173.5878998695,153.340680169,113.234521071291,252.2207036432,112.1287533211,224.985314863488,136.7541113472318,132.4002572649672,
2016-08-01,200.0398126927,156.30739105170002,127.951383722047,276.60298633580004,111.7313184147,247.553761903714,139.89577252776365,135.44189706975249,
2016-09-01,175.2518462079,157.0073725493,111.614095206662,253.4926000719,110.7026115243,228.860923232797,141.82806565031737,137.31267158627028,
2016-10-01,164.39508292640002,153.7266078426,106.946558376795,255.7127672004,109.5593953629,233.133122561875,140.3134868838974,135.84631261287976,
2016-11-01,167.8895604318,152.8271376838,109.850593706991,252.5154675729,112.5657337323,224.01535503575,135.76701596175644,131.44458813228454,
2016-12-01,161.36570720810002,151.7791590717,106.302847916214,245.6530358749,117.1434295612,209.451522402375,129.56694168869714,125.44190623315951,
2017-01-01,148.9167551414,150.4446427417,98.9616490287241,232.2510252191,112.2489078735,206.830720590174,134.0277117985371,129.76065836663707,130.224309
2017-02-01,135.33240746930002,152.3065602581,88.8487713259895,220.1176409659,118.8986292437,185.152878046756,128.09782688572935,124.01956378254884,
2017-03-01,158.4234012471,153.0512363642,103.489579645286,292.7109644994,117.9754834339,248.21640136307,129.731391564886,125.60112050247906,
2017-04-01,168.90330730440002,150.9034702943,111.92637417744,265.8787315651,118.8684255895,223.746555450171,126.95000337215686,122.90828363897856,
2017-05-01,190.6486791701,152.54521070369998,124.976333228938,324.2189118895,120.8348829912,268.409472096601,126.242693274929,122.22349224282598,
2017-06-01,179.0326191004,152.5398017695,117.397292593622,315.3347794163,119.4265401609,264.143972453228,127.72688680756173,123.6604333601034,
2017-07-01,184.0857647599,149.74679835150002,122.955863010076,323.06493491140003,117.9007990401,274.15031914416,127.01084264964877,122.96718597041404,
2017-08-01,182.9853471636,149.1512697526,122.672723486255,337.713669977,117.8125204532,286.710626146555,126.60052529123936,122.56993192606764,
2017-09-01,182.8416508334,148.8173058569,122.771413503669,319.0878773775,114.0066153588,279.739054709284,130.53392155231018,126.3781002638262,
2017-10-01,183.2684151589,151.9720625309,120.383628209834,331.9611258445,111.8150669362,296.434439550778,135.91376072565694,131.58666096871562,
2017-11-01,162.0099079048,155.3779814042,104.07252666741,329.5141408209,113.5655159534,289.593576602447,136.81792408529816,132.46203839062065,
2017-12-01,158.9006106363,158.509548098,100.143845122756,286.8806407514,118.0295683026,242.571983846774,134.29647365278748,130.02086362332153,
2018-01-01,166.9462319416,159.5072191806,104.740312115223,307.05414574590003,116.9367227397,262.41365166093,136.40472850916262,132.0619977626487,131.483951
2018-02-01,149.38386684489998,156.5443216573,95.610251565843,277.794523948,121.2165969018,229.141823984833,129.14429678645382,125.03271711820368,
2018-03-01,187.9930547514,163.735803296,114.949436318934,319.65469460670005,122.1222659441,261.744524354238,134.07530725883197,129.80673852558516,
2018-04-01,181.0401822226,166.9761976375,108.460499185462,326.42504894900003,120.5972210097,270.529489866398,138.4577490588026,134.0496560952923,
2018-05-01,179.1911723265,173.4893773167,103.274240686084,344.7317288392,124.4004741031,276.921282477981,139.46038274172196,135.0203688311163,
2018-06-01,178.1628511307,167.61196213,106.265260128455,291.9644051411,124.969561114,233.449227655621,134.12222995414112,129.8521673384325,
2018-07-01,187.9294107429,165.58542849830002,113.487891218743,330.53188767010005,123.9670746011,266.599106884062,133.57210294033243,129.3195547724253,
2018-08-01,180.536218372,156.77542259170002,115.1602686763,337.5837027966,123.7798098156,272.780828520401,126.65670017206764,122.62431836169448,
2018-09-01,174.8095970486,159.7213651891,109.451840104957,251.2753329362,123.7300804448,203.120064595537,129.08854873036057,124.97874391845085,
2018-10-01,187.3496241125,152.4182963786,122.860873386197,271.2449138426,120.8034130634,224.555242661291,126.17052160488866,122.15361830933726,
2018-11-01,185.6657398667,155.611246692,119.266365177949,233.2612598316,122.6172448237,190.211319043921,126.90812529325628,122.86773883659144,
2018-12-01,185.207845463,152.45359860690002,121.472761435855,209.4091712432,120.0125846378,174.433438294789,127.0313434770258,122.9870341109352,
2019-01-01,159.1217419157,152.9426655073,104.140974351004,225.1773135889,117.3289631341,191.853291720497,130.35371780495123,126.20363368088118,130.508851
2019-02-01,154.3621330637,153.238157076,100.849220622708,213.7431405254,119.6124040531,178.59765835565,128.1122625108115,124.0335398192166,
2019-03-01,178.2859177727,155.3234518958,114.809805026288,211.5177436582,120.6060325451,175.249049923853,128.7858066616341,124.68564027871794,
2019-04-01,185.2342626385,154.1381983265,120.059091694519,223.0641653273,117.997876456,188.884905209619,130.6279426002859,126.46912795445778,
