indice_tiempo,ica_expo_totales,ica_exportacion_productos_primarios,ica_exportacion_manufacturas_origen_agropecuario,ica_exportacion_manufacturas_origen_industrial,ica_exportacion_combustible_energia,ica_importaciones_totales,ica_importaciones_bienes_capital,ica_importaciones_bienes_intermedios,ica_importaciones_combustibles_lubricantes,ica_importaciones_piezas_accesorios_bienes_capital,ica_importaciones_bienes_consumo,ica_importaciones_vehiculos_automotores_pasajeros,ica_importaciones_resto,ica_bienes_capital_partes_piezas,ica_bienes_intermedios_combustibles_lubricantes,ica_importaciones_bs_consumo_vehiculos_automotor_pasajeros,ica_saldo_comercial
2000-05-01,2600.344922,734.574431,665.95685,790.596177,409.217464,2215.13106,486.77818,744.606788,88.201462,400.811164,392.655839,100.192278,1.885349,887.589344,832.80825,494.733466,385.21386200000006
2000-06-01,2390.707224,577.899514,700.963336,709.782046,402.062328,2178.239002,510.38079,723.346556,84.697397,400.626858,376.649803,80.78586,1.751738,911.007648,808.043953,459.187401,212.46822200000042
2000-07-01,2364.106024,416.284218,775.507091,750.37858,421.936135,2201.590618,523.096273,678.310223,119.987249,398.88212,395.614644,85.043484,0.656625,921.978393,798.297472,481.31475300000005,162.51540599999998
2000-08-01,2216.324865,394.59976,690.076696,689.506962,442.141447,2319.562385,590.277067,728.823068,122.223407,400.418181,404.880181,70.987937,1.952544,990.695248,851.046475,477.82066199999997,-103.23752000000013
2000-09-01,2158.032348,296.616722,697.271801,740.019075,424.12475,2083.755144,471.398808,677.195976,83.925249,351.337701,427.677771,70.572112,1.647527,822.736509,761.121225,499.89741000000004,74.27720399999998
2000-10-01,2071.541729,282.487822,632.464877,728.350207,428.238823,2251.365851,506.74181,742.794379,72.871258,424.156545,450.149176,52.67989,1.972793,930.898355,815.6656370000001,504.80185900000004,-179.824122
2000-11-01,2146.940426,320.459718,685.376374,719.219285,421.885049,2184.621858,453.447019,729.26924,76.311878,424.5441,434.731473,64.450413,1.867735,877.991119,805.581118,501.04962099999995,-37.68143199999986
2000-12-01,2356.448472,376.05679,666.992782,814.22856,499.17034,2064.560923,554.13641,631.580146,64.971566,359.39685,379.885632,72.855562,1.734757,913.5332599999999,696.551712,454.475951,291.88754900000004
2001-01-01,2041.302466,524.742868,518.115117,629.170422,369.274059,1954.05538,419.438762,740.846485,73.995473,336.477438,338.363207,43.161096,1.772919,755.9162,814.841958,383.297222,87.24708600000008
2001-02-01,1843.380988,443.651245,455.842889,597.380013,346.506841,1753.888,363.523645,633.724387,76.434185,322.871366,305.535578,50.176865,1.621974,686.3950110000001,710.1585719999999,357.33441700000003,89.49298799999997
2001-03-01,2023.50844,434.568055,470.106788,734.904296,383.929301,2034.960501,404.134158,730.48786,89.423048,363.722417,387.246562,58.06869,1.877766,767.856575,819.910908,447.193018,-11.452060999999958
2001-04-01,2392.066811,655.217651,548.004737,735.033067,453.811356,1917.986285,400.272916,669.214822,71.066156,345.027286,374.559439,56.737092,1.108574,745.300202,740.280978,432.405105,474.0805260000002
2001-05-01,2567.36461,764.803589,634.164943,739.001975,429.394103,2080.779547,465.946003,683.356535,76.848243,405.233629,403.982872,44.035645,1.37662,871.1796320000001,760.204778,449.395137,486.585063
2001-06-01,2544.933963,649.025399,706.57295,803.73105,385.604564,1777.331684,362.883647,635.807538,86.714989,316.643699,348.424151,25.956173,0.901487,679.5273460000001,722.5225270000001,375.28181099999995,767.602279
